2019-06-27 11:20:17,860 INFO osmnx Configured osmnx
2019-06-27 11:20:22,444 INFO osmnx Converting node and edge attribute data types
2019-06-27 11:20:22,520 INFO osmnx Loaded graph with 1,389 nodes and 3,900 edges in 0.28 seconds from "outputs/soho.graphml"
2019-06-27 11:20:23,666 INFO osmnx Begin plotting the graph...
2019-06-27 11:20:23,791 INFO osmnx Created GeoDataFrame "unnamed_edges" from graph in 0.12 seconds
2019-06-27 11:20:23,998 INFO osmnx Drew the graph edges in 0.07 seconds
2019-06-27 11:20:24,268 INFO osmnx Showed the plot in 0.21 seconds
2019-06-27 11:20:43,522 INFO osmnx Found nearest node (26845553) to point (51.514357000000004, -0.13416) in 0.01 seconds
2019-06-27 11:20:43,528 INFO osmnx Found nearest node (26845553) to point (51.514382, -0.134069) in 0.01 seconds
2019-06-27 11:20:43,534 INFO osmnx Found nearest node (26845553) to point (51.514402000000004, -0.13408499999999998) in 0.01 seconds
2019-06-27 11:20:43,541 INFO osmnx Found nearest node (21665319) to point (51.514522, -0.133821) in 0.01 seconds
2019-06-27 11:20:43,547 INFO osmnx Found nearest node (26845553) to point (51.514497, -0.133922) in 0.01 seconds
2019-06-27 11:20:43,554 INFO osmnx Found nearest node (26845553) to point (51.514472, -0.13385) in 0.01 seconds
2019-06-27 11:20:43,560 INFO osmnx Found nearest node (21665319) to point (51.514503999999995, -0.133725) in 0.01 seconds
2019-06-27 11:20:43,566 INFO osmnx Found nearest node (21665319) to point (51.514546, -0.133745) in 0.01 seconds
2019-06-27 11:20:43,573 INFO osmnx Found nearest node (21665319) to point (51.514561, -0.133676) in 0.01 seconds
2019-06-27 11:20:43,579 INFO osmnx Found nearest node (25501064) to point (51.514594, -0.13356300000000002) in 0.01 seconds
2019-06-27 11:20:43,585 INFO osmnx Found nearest node (25501064) to point (51.514581, -0.133467) in 0.01 seconds
2019-06-27 11:20:43,592 INFO osmnx Found nearest node (25501064) to point (51.514606, -0.133393) in 0.01 seconds
2019-06-27 11:20:43,598 INFO osmnx Found nearest node (9521035) to point (51.515834000000005, -0.134474) in 0.01 seconds
2019-06-27 11:20:43,605 INFO osmnx Found nearest node (9521022) to point (51.515195, -0.135259) in 0.01 seconds
2019-06-27 11:20:43,611 INFO osmnx Found nearest node (9521022) to point (51.515149, -0.13539500000000002) in 0.01 seconds
2019-06-27 11:20:43,618 INFO osmnx Found nearest node (9791152) to point (51.514818, -0.136022) in 0.01 seconds
2019-06-27 11:20:43,624 INFO osmnx Found nearest node (4702603702) to point (51.514843, -0.136804) in 0.01 seconds
2019-06-27 11:20:43,630 INFO osmnx Found nearest node (4702603702) to point (51.514914000000005, -0.13658299999999998) in 0.01 seconds
2019-06-27 11:20:43,636 INFO osmnx Found nearest node (9791152) to point (51.514496, -0.135653) in 0.01 seconds
2019-06-27 11:20:43,643 INFO osmnx Found nearest node (25502544) to point (51.514743, -0.135578) in 0.01 seconds
2019-06-27 11:20:43,649 INFO osmnx Found nearest node (25502545) to point (51.514466999999996, -0.13485999999999998) in 0.01 seconds
2019-06-27 11:20:43,656 INFO osmnx Found nearest node (25501063) to point (51.514453, -0.13469) in 0.01 seconds
2019-06-27 11:20:43,662 INFO osmnx Found nearest node (25501016) to point (51.514845, -0.134818) in 0.01 seconds
2019-06-27 11:20:43,668 INFO osmnx Found nearest node (771982972) to point (51.514389, -0.135704) in 0.01 seconds
2019-06-27 11:20:43,675 INFO osmnx Found nearest node (25501184) to point (51.514399, -0.135561) in 0.01 seconds
2019-06-27 11:20:43,681 INFO osmnx Found nearest node (25501184) to point (51.514334999999996, -0.135649) in 0.01 seconds
